hand,-0.004542,0.543383,0.647342,-172.11,-0.065,-90.478
eye,-0.007429156918079,-0.064095064997673,0.333801090717316,178.835,-7.891,-92.585
hand,-0.025946,0.633729,0.538496,-178.244,-0.072,92.347
eye,0.018035469576717,-0.030143009498715,0.222009807825088,177.941,-1.814,-90.655
hand,0.082181,0.629349,0.542959,-173.628,-26.069,-78.082
eye,0.062871135771275,-0.016528308391571,0.248017504811287,152.954,-5.972,-101.589
hand,0.122671,0.618615,0.546247,-173.419,-30.986,-74.322
eye,0.053595446050167,-0.026820402592421,0.264941096305847,147.854,-5.917,-104.739
hand,0.117555,0.615108,0.549285,-176.174,-35.365,-22.456
eye,-0.044831603765488,-0.038112368434668,0.258474737405777,144.518,-2.592,-158.055
hand,-0.160376,0.608429,0.528138,-177.634,19.502,-64.192
eye,-0.031403470784426,-0.033982094377279,0.233044043183327,-162.910,-2.891,-120.505
hand,-0.175647,0.616116,0.528138,-172.16,8.221,-26.205
eye,-0.014626094140112,-0.033438384532929,0.234228238463402,-174.349,-8.938,-158.115
hand,-0.263734,0.588413,0.530651,-162.069,16.892,-14.001
eye,0.004877973347902,-0.035171426832676,0.282743602991104,-164.709,-19.608,-174.730
hand,-0.260836,0.608136,0.396313,-162.486,27.804,-29.056
eye,0.00287957675755,-0.030115496367216,0.188974425196648,-153.956,-18.253,-162.827
hand,-0.125078,0.653119,0.492867,-164.539,-3.256,2.344
eye,0.011891612783074,-0.02384826540947,0.188252449035645,174.671,-16.465,175.871
hand,-0.100266,0.670199,0.516289,-149.803,14.595,118.59
eye,0.007172356825322,-0.017687803134322,0.20146706700325,-162.832,-30.121,50.042
hand,-0.261953,0.633355,0.483570,-136.422,23.909,87.735
eye,-0.048355482518673,-0.039647471159697,0.228517711162567,-149.962,-42.135,68.279
hand,-0.343378,0.561995,0.476230,-128.977,35.873,68.548
eye,0.018245626240969,-0.037018001079559,0.299168080091476,-129.759,-41.429,69.891
hand,0.301433,0.595948,0.395312,-138.292,-30.919,-151.94
eye,-0.065376654267311,-0.052650414407253,0.261951208114624,142.213,-36.073,-5.427
