hand,-0.114246,-0.598335,0.552126,155.469,-4.25,-179.188
eye,-0.031185546889901,0.048371702432633,0.290704429149628,-177.116,-25.378,-90.275
hand,-0.147364,-0.541671,0.431044,126.978,19.108,-1.129
eye,-0.043946873396635,0.004622035194188,0.221463784575462,147.825,-45.917,116.459
hand,-0.240602,-0.477805,0.428727,130.961,26.053,5.349
eye,-0.01556495949626,0.07339920848608,0.298074930906296,141.507,-39.418,112.760
hand,-0.290407,-0.547181,0.433180,129.841,31.596,-21.399
eye,0.02677782997489,0.019486036151648,0.277980804443359,135.350,-37.403,143.933
hand,-0.400938,-0.480551,0.475330,109.999,27.998,-2.982
eye,0.118276603519917,-0.096378177404404,0.374206721782684,122.459,-52.217,144.623
hand,0.308562,-0.426335,0.550306,125.062,-52.493,20.691
eye,0.089682549238205,-0.069080628454685,0.53031587600708,-116.868,-32.175,23.032
hand,0.259949,-0.566052,0.441337,128.125,-55.513,20.338
eye,0.021328145638108,-0.017603825777769,0.383479565382004,-115.656,-28.565,25.275
hand,0.261354,-0.568896,0.458357,129.374,-57.479,159.076
eye,-0.071632720530033,0.097324319183827,0.386078745126724,-112.489,-27.873,-113.991
hand,0.231889,-0.578223,0.451488,166.122,-47.458,-149.427
eye,-0.03373209387064,-0.05920859798789,0.351144909858704,-131.385,-11.691,-129.327
hand,0.164222,-0.557782,0.363264,142.183,-58.794,170.568
eye,-0.049273457378149,-0.024968940764666,0.271095454692841,-115.790,-21.922,-113.195
hand,0.024611,-0.510445,0.482946,117.09,-5.84,-14.276
eye,-0.060256384313107,-0.047402307391167,0.250602096319199,-173.678,-60.877,98.642
hand,-0.082343,-0.520297,0.450686,119.327,4.114,-70.797
eye,0.080763332545757,-0.019797397777438,0.240848869085312,168.604,-58.726,170.793
hand,-0.119172,-0.466137,0.388091,120.531,-9.291,171.359
eye,-0.063960164785385,0.042991008609533,0.251179188489914,-166.845,-59.550,-92.255
hand,-0.155252,-0.517749,0.406873,140.533,-1.619,122.987
eye,0.025390459224582,-0.03734103217721,0.22025915980339,177.708,-39.647,-30.486
hand,-0.140665,-0.551009,0.432375,128.316,1.055,99.506
eye,-0.039512284100056,0.023489790037274,0.217358082532883,171.814,-50.926,-2.602
